subjNum	stimulus	duration	RT
237.000000	5+7=	5.000000	4.010215
237.000000	3+6=	5.000000	1.930885
237.000000	2+4=	5.000000	1.902763
237.000000	8+9=	5.000000	2.506949
237.000000	2+9=	5.000000	1.854810
237.000000	2+3=	5.000000	1.389423
237.000000	4+8=	5.000000	2.190124
237.000000	9+9=	5.000000	2.743327
237.000000	5+9=	5.000000	1.834326
237.000000	7+8=	5.000000	3.153359
237.000000	3+7=	5.000000	2.179781
237.000000	2+8=	5.000000	2.517168
237.000000	3+4=	5.000000	2.400994
237.000000	2+7=	5.000000	3.737526
237.000000	3+3=	5.000000	2.885174
237.000000	6+9=	5.000000	2.282288
237.000000	4+9=	5.000000	3.951332
237.000000	6+8=	5.000000	0.000000
237.000000	4+5=	5.000000	2.907001
237.000000	7+9=	5.000000	2.016874
237.000000	4+6=	5.000000	2.727343
237.000000	4+4=	5.000000	1.923235
237.000000	5+8=	5.000000	2.678535
237.000000	4+7=	5.000000	2.475854
237.000000	6+6=	5.000000	1.537882
237.000000	5+5=	5.000000	0.852499
237.000000	3+5=	5.000000	3.002655
237.000000	3+9=	5.000000	3.130655
237.000000	7+7=	5.000000	3.070217
237.000000	5+6=	5.000000	1.596724
237.000000	2+5=	5.000000	1.484972
237.000000	8+8=	5.000000	2.321553
237.000000	2+6=	5.000000	2.565146
237.000000	2+2=	5.000000	1.455312
237.000000	3+8=	5.000000	2.125012
237.000000	6+7=	5.000000	2.625020
