subjNum	stimulus	duration	RT
262.000000	5+7=	5.000000	0.000000
262.000000	3+6=	5.000000	0.000000
262.000000	2+4=	5.000000	2.373509
262.000000	8+9=	5.000000	1.919122
262.000000	2+9=	5.000000	2.979140
262.000000	2+3=	5.000000	1.308980
262.000000	4+8=	5.000000	2.016054
262.000000	9+9=	5.000000	1.120141
262.000000	5+9=	5.000000	2.251479
262.000000	7+8=	5.000000	2.201680
262.000000	3+7=	5.000000	0.034230
262.000000	2+8=	5.000000	2.272533
262.000000	3+4=	5.000000	2.422322
262.000000	2+7=	5.000000	1.366138
262.000000	3+3=	5.000000	1.031466
262.000000	6+9=	5.000000	2.838113
262.000000	4+9=	5.000000	1.381215
262.000000	6+8=	5.000000	2.254297
262.000000	4+5=	5.000000	0.996368
262.000000	7+9=	5.000000	1.332542
262.000000	4+6=	5.000000	1.471429
262.000000	4+4=	5.000000	0.868944
262.000000	5+8=	5.000000	2.770285
262.000000	4+7=	5.000000	1.180264
262.000000	6+6=	5.000000	0.996921
262.000000	5+5=	5.000000	0.916862
262.000000	3+5=	5.000000	0.976111
262.000000	3+9=	5.000000	0.993313
262.000000	7+7=	5.000000	0.801985
262.000000	5+6=	5.000000	1.586320
262.000000	2+5=	5.000000	0.930442
262.000000	8+8=	5.000000	0.789490
262.000000	2+6=	5.000000	0.829869
262.000000	2+2=	5.000000	0.884770
262.000000	3+8=	5.000000	1.001479
262.000000	6+7=	5.000000	2.089522
