subjNum	stimulus	duration	RT
227.000000	Flower-Ca	7.000000	0.000000
227.000000	Gem-Di	7.000000	3.498518
227.000000	Dog-Te	7.000000	1.671176
227.000000	Cloth-Si	7.000000	1.764865
227.000000	Dog-Hu	7.000000	1.454158
227.000000	Cloth-Wo	7.000000	2.724188
227.000000	Flower-Or	7.000000	1.632430
227.000000	Gem-Ja	7.000000	1.847006
227.000000	Cloth-Po	7.000000	1.869497
227.000000	Flower-Da	7.000000	5.483262
227.000000	Gem-Em	7.000000	1.737109
227.000000	Dog-Co	7.000000	0.000000
227.000000	Flower-Ca	7.000000	0.000000
227.000000	Cloth-Si	7.000000	2.022999
227.000000	Gem-Di	7.000000	1.607781
227.000000	Dog-Te	7.000000	1.623994
227.000000	Gem-Ja	7.000000	1.606150
227.000000	Dog-Hu	7.000000	1.606778
227.000000	Flower-Or	7.000000	1.694868
227.000000	Cloth-Wo	7.000000	2.059699
227.000000	Dog-Co	7.000000	0.000000
227.000000	Gem-Em	7.000000	1.995290
227.000000	Cloth-Po	7.000000	1.635500
227.000000	Flower-Da	7.000000	2.938414
227.000000	Cloth-Wo	7.000000	1.789327
227.000000	Gem-Em	7.000000	1.678664
227.000000	Flower-Or	7.000000	1.379573
227.000000	Dog-Hu	7.000000	1.364270
227.000000	Cloth-Po	7.000000	1.757842
227.000000	Gem-Ja	7.000000	1.327718
227.000000	Dog-Te	7.000000	1.379716
227.000000	Flower-Ca	7.000000	0.000000
227.000000	Gem-Di	7.000000	1.613540
227.000000	Cloth-Si	7.000000	1.525048
227.000000	Flower-Da	7.000000	1.480844
227.000000	Dog-Co	7.000000	0.000000
