subjNum	stimulus	duration	RT
278.000000	Vegetable-Le	7.000000	3.187746
278.000000	Wood-Ce	7.000000	2.492836
278.000000	Tool-Ch	7.000000	2.905812
278.000000	Instrument-Sa	7.000000	3.182324
278.000000	Tool-Dr	7.000000	2.785331
278.000000	Instrument-Ba	7.000000	3.881378
278.000000	Vegetable-Cu	7.000000	3.014963
278.000000	Wood-Ma	7.000000	3.014873
278.000000	Instrument-Gu	7.000000	3.183122
278.000000	Vegetable-Br	7.000000	2.544430
278.000000	Wood-Bi	7.000000	2.772302
278.000000	Tool-Sc	7.000000	4.109459
278.000000	Vegetable-Le	7.000000	2.874148
278.000000	Instrument-Sa	7.000000	2.296114
278.000000	Wood-Ce	7.000000	2.397155
278.000000	Tool-Ch	7.000000	2.510448
278.000000	Wood-Ma	7.000000	2.049571
278.000000	Tool-Dr	7.000000	2.567907
278.000000	Vegetable-Cu	7.000000	2.033970
278.000000	Instrument-Ba	7.000000	2.208771
278.000000	Tool-Sc	7.000000	2.401410
278.000000	Wood-Bi	7.000000	2.265782
278.000000	Instrument-Gu	7.000000	2.151500
278.000000	Vegetable-Br	7.000000	2.210282
278.000000	Instrument-Ba	7.000000	2.329754
278.000000	Wood-Bi	7.000000	1.789354
278.000000	Vegetable-Cu	7.000000	1.846442
278.000000	Tool-Dr	7.000000	1.756563
278.000000	Instrument-Gu	7.000000	1.670517
278.000000	Wood-Ma	7.000000	1.540714
278.000000	Tool-Ch	7.000000	1.686946
278.000000	Vegetable-Le	7.000000	1.619442
278.000000	Wood-Ce	7.000000	1.539366
278.000000	Instrument-Sa	7.000000	1.654528
278.000000	Vegetable-Br	7.000000	1.700629
278.000000	Tool-Sc	7.000000	1.752834
