subjNum	stimulus	duration	RT
210.000000	Vegetable-As	7.000000	3.807716
210.000000	Wood-Wa	7.000000	2.919667
210.000000	Tool-Pl	7.000000	2.443465
210.000000	Instrument-Fl	7.000000	2.346921
210.000000	Tool-Wr	7.000000	2.253295
210.000000	Instrument-Ob	7.000000	2.211836
210.000000	Vegetable-Ra	7.000000	1.867530
210.000000	Wood-Pi	7.000000	3.473154
210.000000	Instrument-Cl	7.000000	2.544486
210.000000	Vegetable-Pe	7.000000	5.242610
210.000000	Wood-Sp	7.000000	0.000000
210.000000	Tool-Ha	7.000000	2.747727
210.000000	Vegetable-As	7.000000	2.238170
210.000000	Instrument-Fl	7.000000	1.854599
210.000000	Wood-Wa	7.000000	1.844065
210.000000	Tool-Pl	7.000000	1.866838
210.000000	Wood-Pi	7.000000	2.272202
210.000000	Tool-Wr	7.000000	1.797975
210.000000	Vegetable-Ra	7.000000	1.805919
210.000000	Instrument-Ob	7.000000	1.510145
210.000000	Tool-Ha	7.000000	1.787687
210.000000	Wood-Sp	7.000000	0.000000
210.000000	Instrument-Cl	7.000000	2.628989
210.000000	Vegetable-Pe	7.000000	1.827953
210.000000	Instrument-Ob	7.000000	1.563555
210.000000	Wood-Sp	7.000000	0.000000
210.000000	Vegetable-Ra	7.000000	2.374524
210.000000	Tool-Wr	7.000000	1.511933
210.000000	Instrument-Cl	7.000000	1.924975
210.000000	Wood-Pi	7.000000	1.599126
210.000000	Tool-Pl	7.000000	1.695480
210.000000	Vegetable-As	7.000000	1.924352
210.000000	Wood-Wa	7.000000	1.703643
210.000000	Instrument-Fl	7.000000	2.115771
210.000000	Vegetable-Pe	7.000000	1.679176
210.000000	Tool-Ha	7.000000	1.820224
