subjNum	stimulus	duration	RT
230.000000	Vegetable-As	7.000000	6.450250
230.000000	Wood-Wa	7.000000	1.563973
230.000000	Tool-Pl	7.000000	1.212389
230.000000	Instrument-Fl	7.000000	0.851678
230.000000	Tool-Wr	7.000000	1.017855
230.000000	Instrument-Ob	7.000000	0.912966
230.000000	Vegetable-Ra	7.000000	1.100472
230.000000	Wood-Pi	7.000000	1.960587
230.000000	Instrument-Cl	7.000000	2.050494
230.000000	Vegetable-Pe	7.000000	2.561592
230.000000	Wood-Sp	7.000000	1.627661
230.000000	Tool-Ha	7.000000	1.634991
230.000000	Vegetable-As	7.000000	1.610038
230.000000	Instrument-Fl	7.000000	0.985651
230.000000	Wood-Wa	7.000000	0.986719
230.000000	Tool-Pl	7.000000	1.107504
230.000000	Wood-Pi	7.000000	1.103309
230.000000	Tool-Wr	7.000000	0.611643
230.000000	Vegetable-Ra	7.000000	0.699182
230.000000	Instrument-Ob	7.000000	0.679399
230.000000	Tool-Ha	7.000000	0.931818
230.000000	Wood-Sp	7.000000	1.206527
230.000000	Instrument-Cl	7.000000	3.342624
230.000000	Vegetable-Pe	7.000000	0.970065
230.000000	Instrument-Ob	7.000000	0.667384
230.000000	Wood-Sp	7.000000	1.368390
230.000000	Vegetable-Ra	7.000000	0.650150
230.000000	Tool-Wr	7.000000	0.623873
230.000000	Instrument-Cl	7.000000	0.743170
230.000000	Wood-Pi	7.000000	0.514799
230.000000	Tool-Pl	7.000000	0.790034
230.000000	Vegetable-As	7.000000	0.693304
230.000000	Wood-Wa	7.000000	0.610653
230.000000	Instrument-Fl	7.000000	0.497776
230.000000	Vegetable-Pe	7.000000	0.533542
230.000000	Tool-Ha	7.000000	0.543937
