subjNum	stimulus	duration	RT
267.000000	Fish-Cl_	7.000000	5.907395
267.000000	Fish-Pi_	7.000000	2.016457
267.000000	Country-Me_	7.000000	1.728428
267.000000	Relative-Au_	7.000000	2.395357
267.000000	Bird-Pa_	7.000000	2.644282
267.000000	Furniture-Ch_	7.000000	1.827301
267.000000	Dance-Ba_	7.000000	3.362363
267.000000	Relative-Si_	7.000000	2.317209
267.000000	Bird-Ha_	7.000000	2.920661
267.000000	Dance-Hi_	7.000000	2.692806
267.000000	Furniture-Nig_	7.000000	5.097739
267.000000	Country-Sp_	7.000000	2.359063
267.000000	Furniture-So_	7.000000	2.161364
267.000000	Country-Ca_	7.000000	3.388138
267.000000	Bird-Sp_	7.000000	2.509557
267.000000	Dance-Ta_	7.000000	1.945720
267.000000	Relative-Un_	7.000000	2.677021
267.000000	Dance-Ch_	7.000000	3.602413
267.000000	Furniture-Ot_	7.000000	3.426946
267.000000	Bird-Bl_	7.000000	4.116088
267.000000	Relative-Co_	7.000000	3.240075
267.000000	Country-Fr_	7.000000	2.135308
267.000000	Dance-Ch_	7.000000	2.153791
267.000000	Relative-Un_	7.000000	1.692509
267.000000	Bird-Pa_	7.000000	1.496647
267.000000	Country-Fr_	7.000000	1.541851
267.000000	Furniture-Nig_	7.000000	2.688255
267.000000	Relative-Au_	7.000000	1.765892
267.000000	Bird-Sp_	7.000000	2.198880
267.000000	Furniture-Ch_	7.000000	1.928116
267.000000	Country-Me_	7.000000	2.274980
267.000000	Dance-Ta_	7.000000	1.720949
267.000000	Bird-Bl_	7.000000	2.292434
267.000000	Country-Sp_	7.000000	1.577434
267.000000	Furniture-Ot_	7.000000	4.187145
267.000000	Relative-Co_	7.000000	2.420532
267.000000	Dance-Hi_	7.000000	1.724309
267.000000	Bird-Ha_	7.000000	2.800287
267.000000	Country-Ca_	7.000000	2.336269
267.000000	Dance-Ba_	7.000000	3.068162
267.000000	Relative-Si_	7.000000	1.785723
267.000000	Furniture-So_	7.000000	2.114606
267.000000	Fish-Cl_	7.000000	3.286791
267.000000	Fish-Pi_	7.000000	2.387581
