stimulus	duration
2x9=	5
4x8=	5
2x5=	5
8x9=	5
3x5=	5
2x6=	5
2x2=	5
7x7=	5
4x4=	5
3x6=	5
3x9=	5
4x7=	5
6x8=	5
3x4=	5
5x7=	5
9x9=	5
6x7=	5
5x8=	5
4x7=	5
6x8=	5
2x2=	5
5x8=	5
4x4=	5
9x9=	5
5x7=	5
3x9=	5
6x7=	5
3x6=	5
7x7=	5
4x8=	5
3x5=	5
2x9=	5
3x4=	5
2x6=	5
8x9=	5
2x5=	5
6x7=	5
3x5=	5
2x9=	5
5x8=	5
4x7=	5
3x4=	5
8x9=	5
3x6=	5
4x8=	5
5x7=	5
6x8=	5
9x9=	5
7x7=	5
3x9=	5
2x6=	5
4x4=	5
2x5=	5
2x2=	5
8x9=	5
6x8=	5
9x9=	5
2x6=	5
3x4=	5
4x7=	5
3x6=	5
5x7=	5
4x8=	5
5x8=	5
3x9=	5
4x4=	5
7x7=	5
2x5=	5
2x2=	5
3x5=	5
2x9=	5
6x7=	5
2x6=	5
6x8=	5
3x9=	5
2x2=	5
5x8=	5
6x7=	5
9x9=	5
3x5=	5
4x4=	5
8x9=	5
7x7=	5
3x6=	5
5x7=	5
3x4=	5
2x5=	5
4x7=	5
2x9=	5
4x8=	5
6x7=	5
2x9=	5
4x7=	5
3x6=	5
5x8=	5
3x4=	5
8x9=	5
2x2=	5
9x9=	5
6x8=	5
7x7=	5
4x8=	5
2x5=	5
5x7=	5
4x4=	5
3x5=	5
2x6=	5
3x9=	5
