stimulus	duration
7x8=	5
4x5=	5
2x4=	5
3x3=	5
2x8=	5
2x3=	5
4x6=	5
3x8=	5
5x6=	5
2x7=	5
5x9=	5
5x5=	5
7x9=	5
8x8=	5
6x9=	5
6x6=	5
4x9=	5
3x7=	5
7x9=	5
2x3=	5
2x7=	5
4x5=	5
6x9=	5
3x8=	5
5x5=	5
6x6=	5
2x4=	5
5x6=	5
8x8=	5
5x9=	5
3x3=	5
3x7=	5
4x9=	5
4x6=	5
7x8=	5
2x8=	5
2x7=	5
7x8=	5
2x8=	5
2x3=	5
5x9=	5
7x9=	5
3x8=	5
5x6=	5
3x7=	5
2x4=	5
4x6=	5
8x8=	5
4x9=	5
4x5=	5
6x6=	5
5x5=	5
6x9=	5
3x3=	5
5x5=	5
6x9=	5
3x8=	5
2x3=	5
5x6=	5
3x7=	5
6x6=	5
8x8=	5
2x4=	5
7x9=	5
4x6=	5
3x3=	5
4x9=	5
2x8=	5
4x5=	5
2x7=	5
5x9=	5
7x8=	5
4x6=	5
3x7=	5
5x9=	5
2x7=	5
5x5=	5
3x3=	5
5x6=	5
3x8=	5
4x9=	5
6x6=	5
8x8=	5
2x8=	5
7x9=	5
2x4=	5
7x8=	5
2x3=	5
4x5=	5
6x9=	5
2x4=	5
3x3=	5
6x9=	5
4x6=	5
5x9=	5
4x9=	5
4x5=	5
6x6=	5
8x8=	5
2x3=	5
5x5=	5
7x8=	5
5x6=	5
2x7=	5
3x7=	5
2x8=	5
7x9=	5
3x8=	5
