Stimulus	Duration
Insect-Beetle	5
Tree-Cedar	5
Profession-Accountant	5
Metal-Iron	5
Insect-Grasshopper	5
Profession-Nurse	5
Tree-Birch	5
Metal-Pewter	5
Tree-Palm	5
Metal-Mercury	5
Insect-Weevil	5
Profession-Janitor	5
Tree-Willow	5
Metal-Tungsten	5
Profession-Investor	5
Insect-Locust	5
Metal-Nickel	5
Tree-Mimosa	5
Profession-Critic	5
Insect-Scorpion	5
Metal-Brass	5
Profession-Dentist	5
Insect-Fly	5
Tree-Spruce	5
Metal-Francium	5
Tree-Juniper	5
Profession-Soldier	5
Insect-Aphid	5
Tree-Hickory	5
Profession-Engineer	5
Metal-Chrome	5
Insect-Roach	5
Metal-Gold	5
Insect-Cicada	5
Profession-Gardener	5
Tree-Elm	5
Metal-Silver	5
Insect-Tick	5
Tree-Ash	5
Profession-Plumber	5
Tree-Redwood	5
Insect-Hornet	5
Metal-Lithium	5
Profession-Veterinarian	5
Metal-Aluminum	5
Profession-Farmer	5
Tree-Dogwood	5
Insect-Mosquito	5
