Stimulus	Duration
Insect-G	5
Tree-E	5
Profession-J	5
Insect-L	5
Insect-F	5
Tree-B	5
Insect-S	5
Metal-L	5
Insect-T	5
Insect-R	5
Tree-J	5
Metal-C	5
Tree-P	5
Tree-D	5
Profession-G	5
Metal-F	5
Profession-E	5
Metal-A	5
Metal-N	5
Profession-P	5
Tree-S	5
Profession-V	5
Profession-I	5
Metal-T	5
Metal-B	5
Profession-N	5
Profession-S	5
Profession-D	5
Metal-P	5
Profession-F	5
Tree-C	5
Tree-W	5
Tree-M	5
Insect-C	5
Metal-M	5
Insect-H	5
Tree-A	5
Metal-I	5
Tree-R	5
Insect-M	5
Insect-B	5
Insect-A	5
Metal-G	5
Metal-S	5
Insect-W	5
Profession-A	5
Tree-H	5
Profession-C	5
