Stimulus	Duration
Dog-S	5
Flower-T	5
Cloth-L	5
Instrument-B	5
Cloth-V	5
Gem-R	5
Tool-D	5
Dog-B	5
Flower-G	5
Dog-L	5
Instrument-G	5
Gem-T	5
Instrument-S	5
Gem-O	5
Vegetable-L	5
Wood-B	5
Wood-M	5
Tool-C	5
Cloth-B	5
Wood-C	5
Tool-S	5
Flower-V	5
Vegetable-B	5
Vegetable-C	5
Vegetable-P	5
Tool-P	5
Dog-T	5
Flower-O	5
Flower-D	5
Wood-S	5
Wood-W	5
Vegetable-R	5
Tool-H	5
Instrument-C	5
Instrument-F	5
Dog-H	5
Gem-D	5
Dog-C	5
Flower-C	5
Cloth-P	5
Cloth-W	5
Wood-P	5
Gem-E	5
Gem-J	5
Tool-W	5
Vegetable-A	5
Instrument-O	5
Cloth-S	5
