stimulus	duration
Shoelace-Wrap	10
Shoelace-Mug	10
Flower-Clothes	10
Napkin-Stapler	10
Jar-Roll	10
Napkin-Nose	10
Book-Kick	10
Jar-Lift	10
Flower-Smell	10
Jar-Ear	10
Book-Bookmark	10
Napkin-Lap	10
Flower-Petals	10
Book-Shoulder	10
Napkin-Stapler	10
Jar-Roll	10
Flower-Petals	10
Napkin-Nose	10
Book-Shoulder	10
Flower-Clothes	10
Jar-Lift	10
Flower-Smell	10
Book-Kick	10
Jar-Ear	10
Book-Bookmark	10
Napkin-Lap	10
Book-Shoulder	10
Flower-Petals	10
Napkin-Lap	10
Jar-Lift	10
Book-Bookmark	10
Jar-Roll	10
Flower-Smell	10
Jar-Ear	10
Book-Kick	10
Napkin-Stapler	10
Flower-Clothes	10
Napkin-Nose	10
Shoelace-Sit	10
Shoelace-Tie	10
