stimulus	duration
Shoelace-Mug	10
Shoelace-Sit	10
Flower-Forehead	10
Napkin-Mouth	10
Jar-Lid	10
Napkin-Shoe	10
Book-Book	10
Jar-Balance	10
Flower-Stomp	10
Jar-Can	10
Book-Turn	10
Napkin-Keyboard	10
Flower-Vase	10
Book-Read	10
Napkin-Mouth	10
Jar-Lid	10
Flower-Vase	10
Napkin-Shoe	10
Book-Read	10
Flower-Forehead	10
Jar-Balance	10
Flower-Stomp	10
Book-Book	10
Jar-Can	10
Book-Turn	10
Napkin-Keyboard	10
Book-Read	10
Flower-Vase	10
Napkin-Keyboard	10
Jar-Balance	10
Book-Turn	10
Jar-Lid	10
Flower-Stomp	10
Jar-Can	10
Book-Book	10
Napkin-Mouth	10
Flower-Forehead	10
Napkin-Shoe	10
Shoelace-Tie	10
Shoelace-Wrap	10
