stimulus	duration
Shoelace-Tie	10
Shoelace-Wrap	10
Ball-Elbow	10
Pencil-Draw	10
Bowl-Fruit	10
Pencil-Shoe	10
Needle-Stitch	10
Bowl-Head	10
Ball-Handkerchief	10
Bowl-Stir	10
Needle-Spin	10
Pencil-Sleeve	10
Ball-Throw	10
Needle-Spool	10
Pencil-Draw	10
Bowl-Fruit	10
Ball-Throw	10
Pencil-Shoe	10
Needle-Spool	10
Ball-Elbow	10
Bowl-Head	10
Ball-Handkerchief	10
Needle-Stitch	10
Bowl-Stir	10
Needle-Spin	10
Pencil-Sleeve	10
Needle-Spool	10
Ball-Throw	10
Pencil-Sleeve	10
Bowl-Head	10
Needle-Spin	10
Bowl-Fruit	10
Ball-Handkerchief	10
Bowl-Stir	10
Needle-Stitch	10
Pencil-Draw	10
Ball-Elbow	10
Pencil-Shoe	10
Shoelace-Mug	10
Shoelace-Sit	10
