stimulus	duration
Fish-Bass	6
Fish-Goldfish	6
Body*Part-Eye	6
Land*Formation-River	6
Country-United*States	6
Relative-Father	6
Sport-Golf	6
Spice-Basil	6
Bird-Robin	6
Dance-Jazz	6
Transportation-Car	6
Furniture-Desk	6
Land*Formation-Canyon	6
Body*Part-Hand	6
Sport-Basketball	6
Spice-Salt	6
Bird-Cardinal	6
Transportation-Subway	6
Dance-Waltz	6
Relative-Brother	6
Furniture-Loveseat	6
Country-England	6
Sport-Soccer	6
Relative-Mother	6
Body*Part-Leg	6
Spice-Garlic	6
Country-Germany	6
Transportation-Boat	6
Furniture-Bed	6
Land*Formation-Hill	6
Bird-Dove	6
Dance-Line	6
Relative-Grandparent	6
Spice-Oregano	6
Transportation-Truck	6
Sport-Volleyball	6
Country-Italy	6
Bird-Eagle	6
Furniture-Table	6
Dance-Salsa	6
Body*Part-Arm	6
Land*Formation-Plateau	6
Fish-Trout	6
Fish-Salmon	6
