stimulus	duration
Fish-Cl_	7
Fish-Pi_	7
Country-Uni_	7
Relative-Fa_	7
Bird-Car_	7
Furniture-Be_	7
Dance-Sa_	7
Relative-Br_	7
Bird-Do_	7
Dance-Ja_	7
Furniture-Ta_	7
Country-En_	7
Furniture-De_	7
Country-Ge_	7
Bird-Ea_	7
Dance-Wa_	7
Relative-Mo_	7
Dance-Li_	7
Furniture-Lov_	7
Bird-Ro_	7
Relative-Gra_	7
Country-It_	7
Dance-Li_	7
Relative-Mo_	7
Bird-Car_	7
Country-It_	7
Furniture-Ta_	7
Relative-Fa_	7
Bird-Ea_	7
Furniture-Be_	7
Country-Uni_	7
Dance-Wa_	7
Bird-Ro_	7
Country-En_	7
Furniture-Lov_	7
Relative-Gra_	7
Dance-Ja_	7
Bird-Do_	7
Country-Ge_	7
Dance-Sa_	7
Relative-Br_	7
Furniture-De_	7
Fish-Cl_	7
Fish-Pi_	7
