stimulus	duration
Fish-Cl_	7
Fish-Pi_	7
Transportation-Ca_	7
Spice-Ba_	7
Body*Part-Ha_	7
Sport-So_	7
Land*Formation-Pl_	7
Spice-Sa_	7
Body*Part-Le_	7
Land*Formation-Ri_	7
Sport-Vol_	7
Transportation-Su_	7
Sport-Go_	7
Transportation-Bo_	7
Body*Part-Ar_	7
Land*Formation-Ca_	7
Spice-Ga_	7
Land*Formation-Hi_	7
Sport-Bas_	7
Body*Part-Ey_	7
Spice-Or_	7
Transportation-Tr_	7
Land*Formation-Hi_	7
Spice-Ga_	7
Body*Part-Ha_	7
Transportation-Tr_	7
Sport-Vol_	7
Spice-Ba_	7
Body*Part-Ar_	7
Sport-So_	7
Transportation-Ca_	7
Land*Formation-Ca_	7
Body*Part-Ey_	7
Transportation-Su_	7
Sport-Bas_	7
Spice-Or_	7
Land*Formation-Ri_	7
Body*Part-Le_	7
Transportation-Bo_	7
Land*Formation-Pl_	7
Spice-Sa_	7
Sport-Go_	7
Fish-Cl_	7
Fish-Pi_	7
