stimulus	duration
Fish-B_	10
Fish-G_	10
Sport-V_	10
Dance-L_	10
Spice-S_	10
Bird-R_	10
Furniture-L_	10
Body*Part-L_	10
Country-E_	10
Transportation-T_	10
Land*Formation-R_	10
Relative-G_	10
Body*Part-H_	10
Bird-C_	10
Relative-F_	10
Transportation-C_	10
Furniture-T_	10
Land*Formation-H_	10
Dance-S_	10
Country-U_	10
Spice-B_	10
Sport-G_	10
Body*Part-A_	10
Bird-E_	10
Country-G_	10
Spice-O_	10
Transportation-B_	10
Dance-W_	10
Relative-M_	10
Sport-S_	10
Land*Formation-C_	10
Furniture-D_	10
Sport-B_	10
Body*Part-E_	10
Transportation-S_	10
Country-I_	10
Dance-J_	10
Land*Formation-P_	10
Spice-G_	10
Relative-B_	10
Bird-D_	10
Furniture-B_	10
Fish-S_	10
Fish-T_	10
